model,formulation,prediction_type,train_rmse,train_accuracy,train_f1_macro,train_auc_roc_macro,rmse,mae,r2,fit_seconds,predict_seconds,tuning_seconds,accuracy,f1_macro,auc_roc_macro,precision_ruim,recall_ruim,precision_mediano,recall_mediano,precision_bom,recall_bom
Random Forest Regressor,regression,raw_quality_then_3_class_bins,0.4016826473283963,0.8914549653579676,0.8844436796311802,0.9807322266688928,0.6235288445535455,0.46700847839255766,0.4917417292836973,18.85654313499981,0.30484586100283195,76.97271381700193,0.6948501152959262,0.6780938933432887,0.8582014457666395,0.797979797979798,0.6624737945492662,0.6162018592297477,0.8169014084507042,0.8157894736842105,0.484375
KNN Regressor,regression,raw_quality_then_3_class_bins,0.6354844811401629,0.6516551193225558,0.6434887231748087,0.8222243435106029,0.6911859663164309,0.5327370554119208,0.37545867493483587,3.287001163698733e-06,0.11287485499997274,1.5171401539992075,0.6256725595695619,0.6092700856182844,0.7863360637036347,0.7409326424870466,0.59958071278826,0.5674547983310153,0.7183098591549296,0.6122448979591837,0.46875
Baseline Mean Regressor,regression,raw_quality_then_3_class_bins,0.8728317208093469,0.43648960739030024,0.20257234726688103,0.5,0.8746098088785571,0.6864276251051037,-1.0197235722486653e-07,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
KNN Classifier,classification,three_class,,0.712278675904542,0.7059256474372537,0.8788661112504256,,,,3.946999640902504e-06,0.09035468399815727,1.32918543499909,0.6264411990776326,0.6127988284592508,0.7861727558792132,0.6918238993710691,0.6918238993710691,0.5966386554621849,0.625,0.5676855895196506,0.5078125
Softmax Regression,classification,three_class,,0.550423402617398,0.5458466227828144,0.748500324287277,,,,1.887079480002285,0.0002212959989265073,49.43655203999879,0.5549577248270561,0.5488538072746253,0.7452643219813372,0.6500956022944551,0.7127882599580713,0.5775862068965517,0.3538732394366197,0.42093023255813955,0.70703125
Baseline Majority Classifier,classification,three_class,,0.43648960739030024,0.20257234726688103,0.5,,,,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
