seed,model,formulation,prediction_type,train_rmse,train_accuracy,train_f1_macro,train_auc_roc_macro,rmse,mae,r2,fit_seconds,predict_seconds,tuning_seconds,accuracy,f1_macro,auc_roc_macro,precision_ruim,recall_ruim,precision_mediano,recall_mediano,precision_bom,recall_bom
11,Random Forest Regressor,regression,raw_quality_then_3_class_bins,0.42227891825506875,0.8764434180138568,0.8649166384805694,0.9783528861078054,0.6241749916951875,0.47882316438283523,0.4906877931490736,16.609164747998875,0.2831104889992275,0.0,0.6725595695618755,0.6375552606246591,0.8474527850083909,0.8005050505050505,0.6645702306079665,0.5928297055057619,0.8151408450704225,0.7661290322580645,0.37109375
11,KNN Regressor,regression,raw_quality_then_3_class_bins,0.636533574581986,0.6603156274056967,0.6490406852847292,0.8236955465562081,0.6955834507493076,0.543637761162742,0.367486443037613,0.0,0.09099042999878293,0.0,0.584934665641814,0.5643468045766356,0.7691669980705299,0.6857142857142857,0.6037735849056604,0.5245441795231417,0.6584507042253521,0.5892857142857143,0.38671875
11,Baseline Mean Regressor,regression,raw_quality_then_3_class_bins,0.8728317208093469,0.43648960739030024,0.20257234726688103,0.5,0.8746098088785572,0.6864276251051037,-1.0197235722486653e-07,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
11,KNN Classifier,classification,three_class,,0.7097767513471901,0.7006316029585985,0.8771967973015222,,,,0.0,0.12221004300226923,0.0,0.5964642582628747,0.5872442814051334,0.7783920237097833,0.6361829025844931,0.6708595387840671,0.5575959933222037,0.5880281690140845,0.6130653266331658,0.4765625
11,Softmax Regression,classification,three_class,,0.552347959969207,0.5474901518167069,0.7465862691995223,,,,0.0,0.00018437700055073947,0.0,0.5603382013835511,0.5529334502979372,0.7610296698209226,0.6182136602451839,0.740041928721174,0.6025641025641025,0.33098591549295775,0.44976076555023925,0.734375
11,Baseline Majority Classifier,classification,three_class,,0.43648960739030024,0.20257234726688103,0.5,,,,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
23,Random Forest Regressor,regression,raw_quality_then_3_class_bins,0.4047809916633974,0.8883756735950731,0.879684015523309,0.9809491794858284,0.6178954972176897,0.46201904452857195,0.500884085588092,18.048098438001034,0.28332516399677843,0.0,0.6994619523443505,0.6733474631283661,0.8642011281336811,0.8148148148148148,0.6918238993710691,0.6179183135704874,0.8257042253521126,0.8102189781021898,0.43359375
23,KNN Regressor,regression,raw_quality_then_3_class_bins,0.6334614344525844,0.6491531947652041,0.6382089180283228,0.8203939833975037,0.6860384609183128,0.5281252183634966,0.38472639451535773,0.0,0.0916850270004943,0.0,0.6256725595695619,0.6128472936377348,0.789907552970944,0.71712158808933,0.6058700209643606,0.5660112359550562,0.7095070422535211,0.6559139784946236,0.4765625
23,Baseline Mean Regressor,regression,raw_quality_then_3_class_bins,0.8728317208093469,0.43648960739030024,0.20257234726688103,0.5,0.8746098088785572,0.6864276251051036,-1.0197235722486653e-07,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
23,KNN Classifier,classification,three_class,,0.705735180908391,0.6998048295944237,0.8765453503865369,,,,0.0,0.09818950899716583,0.0,0.6218293620292084,0.6143467905372667,0.7853178012522403,0.6709401709401709,0.6582809224318659,0.5888157894736842,0.6302816901408451,0.6088888888888889,0.53515625
23,Softmax Regression,classification,three_class,,0.5425327174749808,0.5377379478607901,0.744048310979519,,,,0.0,0.00017114200090873055,0.0,0.5618754803996926,0.5560112301212446,0.7634781845916055,0.637546468401487,0.7190775681341719,0.5976331360946746,0.35563380281690143,0.4376470588235294,0.7265625
23,Baseline Majority Classifier,classification,three_class,,0.43648960739030024,0.20257234726688103,0.5,,,,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
42,Random Forest Regressor,regression,raw_quality_then_3_class_bins,0.4016826473283963,0.8914549653579676,0.8844436796311802,0.9807322266688928,0.6235288445535455,0.46700847839255766,0.4917417292836973,18.083491684003093,0.31136008800240234,0.0,0.6948501152959262,0.6780938933432887,0.8582014457666395,0.797979797979798,0.6624737945492662,0.6162018592297477,0.8169014084507042,0.8157894736842105,0.484375
42,KNN Regressor,regression,raw_quality_then_3_class_bins,0.6354844811401629,0.6516551193225558,0.6434887231748087,0.8222243435106029,0.6911859663164309,0.5327370554119208,0.37545867493483587,0.0,0.12357621299815946,0.0,0.6256725595695619,0.6092700856182844,0.7863360637036347,0.7409326424870466,0.59958071278826,0.5674547983310153,0.7183098591549296,0.6122448979591837,0.46875
42,Baseline Mean Regressor,regression,raw_quality_then_3_class_bins,0.8728317208093469,0.43648960739030024,0.20257234726688103,0.5,0.8746098088785571,0.6864276251051037,-1.0197235722486653e-07,0.0,0.0,0.0,0.43658724058416604,0.20260388799714643,0.5,0.0,0.0,0.43658724058416604,1.0,0.0,0.0
42,KNN Classifier,classification,three_class,,0.712278675904542,0.7059256474372537,0.8788661112504256,,,,0.0,0.10516054999970947,0.0,0.6264411990776326,0.6127988284592508,0.7861727558792132,0.6918238993710691,0.6918238993710691,0.5966386554621849,0.625,0.5676855895196506,0.5078125
42,Softmax Regression,classification,three_class,,0.550423402617398,0.5458466227828144,0.748500324287277,,,,0.0,0.000182222000148613,0.0,0.5549577248270561,0.5488538072746253,0.7452643219813372,0.6500956022944551,0.7127882599580713,0.5775862068965517,0.3538732394366197,0.42093023255813955,0.70703125
