model,formulation,prediction_type,n_splits,rmse_mean,rmse_ci95,accuracy_mean,accuracy_ci95,f1_macro_mean,f1_macro_ci95,auc_roc_macro_mean,auc_roc_macro_ci95
Random Forest Regressor,regression,raw_quality_then_3_class_bins,5,0.6225429347662413,0.00228966906985511,0.6920830130668716,0.009816773476705317,0.6657269798747556,0.014154882807983639,0.8560885471400557,0.005959025991749056
KNN Regressor,regression,raw_quality_then_3_class_bins,5,0.6901228206748551,0.003473685454032788,0.6133743274404304,0.015207781594009553,0.5975171999075898,0.01709430665216903,0.7835929402533971,0.00784170377185796
Baseline Mean Regressor,regression,raw_quality_then_3_class_bins,5,0.8746098088785572,4.8657669403646546e-17,0.43658724058416604,0.0,0.20260388799714643,0.0,0.5,0.0
KNN Classifier,classification,three_class,5,,,0.6147578785549578,0.01215913420353664,0.6051549054841623,0.01118847005600291,0.7827559202697718,0.002924090018254661
Softmax Regression,classification,three_class,5,,,0.5529592621060722,0.008662239742496991,0.5465951987683553,0.008683259249631039,0.7495416646788133,0.010964748947571441
Baseline Majority Classifier,classification,three_class,5,,,0.43658724058416604,0.0,0.20260388799714643,0.0,0.5,0.0
